ID,Year,Group_Name,Persons,Area
1183,2004,4,88,28
1184,2004,4,1049,29
1185,2004,4,4,30
1186,2004,4,1375,31
1187,2004,4,51,32
1188,2004,4,936,33
1189,2004,4,28,34
1190,2004,4,527,35
1191,2005,4,2,1
1192,2005,4,2817,2
1193,2005,4,18,3
1194,2005,4,687,4
1195,2005,4,600,5
1196,2005,4,9,6
1197,2005,4,1045,7
1198,2005,4,10,8
1199,2005,4,0,9
1200,2005,4,103,10
1201,2005,4,3,11
1202,2005,4,650,12
1203,2005,4,348,13
1204,2005,4,287,14
1205,2005,4,1116,15
1206,2005,4,655,16
1207,2005,4,1644,17
1208,2005,4,1134,18
1209,2005,4,0,19
1210,2005,4,2931,20
1211,2005,4,1664,21
1212,2005,4,0,22
1213,2005,4,5,23
1214,2005,4,2,24
1215,2005,4,0,25
1216,2005,4,1416,26
1217,2005,4,14,27
1218,2005,4,161,28
1219,2005,4,1065,29
1220,2005,4,10,30
1221,2005,4,1584,31
1222,2005,4,121,32
1223,2005,4,877,7
1224,2005,4,35,34
1225,2005,4,826,35
1226,2006,4,4,1
